arnBCL2	arnBID	arnCAMK1D	arnCARD10	arnCASP1	arnCLCA1	arnDAP	arnGLRX2	arnIL1F10	arnIL6	arnLGALS3	arnSERPINB2	MIR143	MIR146A	MIR148A	MIR15A	MIR15B	MIR16_2	MIR17	MIR18A	MIR192	MIR195	MIR200B	MIR200C	MIR20A	MIR21	MIR224	MIR29A	MIR29C	MIR34A	MIR34B	MIR34C	MIR448	MIR449A	MIRLET7A1	MIRLET7C	tfAR	tfATF1	tfBRCA1	tfCEBPA	tfCEBPB	tfCEBPD	tfCREB1	tfE2F1	tfE2F4	tfEGR1	tfESR1	tfETS1	tfFOXA1	tfGATA1	tfGATA2	tfGATA3	tfGLI1	tfGLI2	tfJUN	tfJUND	tfMYB	tfMYBL1	tfMYC	tfNFIC	tfNFKB1	tfNFKB2	tfPGR	tfPPARG	tfRARA	tfRARB	tfRARG	tfREL	tfRELA	tfSP1	tfSTAT3	tfSTAT5A	tfTFAP2A	tfTFAP2C	tfTP53	tfUSF1	tfWT1	tfYBX1
3.34447	5.81301	4.64004	6.06242	3.12473	2.83466	7.03831	6.1795	5.59816	3.81451	6.09951	3.44791	4.04728	9.33448	3.93501	6.57784	8.76845	10.168	10.0115	8.59232	6.88446	10.2276	6.9285	5.51256	12.0813	7.39525	5.46682	10.1614	10.5891	6.20446	5.12739	4.33286	4.7531	3.42901	11.3393	11.9148	4.62393	8.49065	7.41279	5.29983	7.63056	7.48511	8.56147	7.29086	9.03732	7.44176	4.3295	6.49319	5.35873	6.27932	5.47932	5.41577	4.95814	5.65788	7.04233	8.32639	5.22395	5.94787	8.64032	8.00211	6.99058	7.8938	3.53059	4.45092	6.79545	4.32841	6.9995	6.10989	8.64878	8.55988	8.35755	6.04605	6.27564	5.51826	8.32177	7.81896	5.37061	5.26345
5.34731	6.64523	6.65366	5.79573	3.22568	4.1158	7.35204	5.26159	5.51336	5.58087	7.37002	5.51269	4.04728	9.33448	3.93501	6.57784	8.76845	10.168	10.0115	8.59232	6.88446	10.2276	6.9285	5.51256	12.0813	7.39525	5.46682	10.1614	10.5891	6.20446	5.12739	4.33286	4.7531	3.42901	11.3393	11.9148	4.62393	8.49065	7.41279	5.29983	7.63056	7.48511	8.56147	7.29086	9.03732	7.44176	4.3295	6.49319	5.35873	6.27932	5.47932	5.41577	4.95814	5.65788	7.04233	8.32639	5.22395	5.94787	8.64032	8.00211	6.99058	7.8938	3.53059	4.45092	6.79545	4.32841	6.9995	6.10989	8.64878	8.55988	8.35755	6.04605	6.27564	5.51826	8.32177	7.81896	5.37061	5.26345
4.92692	4.7612	5.08832	4.98267	4.09163	3.77161	6.24282	6.03604	5.43016	5.07553	6.01113	5.07929	4.04728	9.33448	3.93501	6.57784	8.76845	10.168	10.0115	8.59232	6.88446	10.2276	6.9285	5.51256	12.0813	7.39525	5.46682	10.1614	10.5891	6.20446	5.12739	4.33286	4.7531	3.42901	11.3393	11.9148	4.62393	8.49065	7.41279	5.29983	7.63056	7.48511	8.56147	7.29086	9.03732	7.44176	4.3295	6.49319	5.35873	6.27932	5.47932	5.41577	4.95814	5.65788	7.04233	8.32639	5.22395	5.94787	8.64032	8.00211	6.99058	7.8938	3.53059	4.45092	6.79545	4.32841	6.9995	6.10989	8.64878	8.55988	8.35755	6.04605	6.27564	5.51826	8.32177	7.81896	5.37061	5.26345
4.51846	5.80905	5.02164	6.029	3.16168	3.17127	6.39156	5.84257	5.71175	4.16576	5.89177	4.58437	4.04728	9.33448	3.93501	6.57784	8.76845	10.168	10.0115	8.59232	6.88446	10.2276	6.9285	5.51256	12.0813	7.39525	5.46682	10.1614	10.5891	6.20446	5.12739	4.33286	4.7531	3.42901	11.3393	11.9148	4.62393	8.49065	7.41279	5.29983	7.63056	7.48511	8.56147	7.29086	9.03732	7.44176	4.3295	6.49319	5.35873	6.27932	5.47932	5.41577	4.95814	5.65788	7.04233	8.32639	5.22395	5.94787	8.64032	8.00211	6.99058	7.8938	3.53059	4.45092	6.79545	4.32841	6.9995	6.10989	8.64878	8.55988	8.35755	6.04605	6.27564	5.51826	8.32177	7.81896	5.37061	5.26345
3.94444	8.51674	3.94547	7.32565	4.64175	3.25822	6.4855	6.72476	5.54429	5.12482	7.34477	3.97173	4.04728	9.33448	3.93501	6.57784	8.76845	10.168	10.0115	8.59232	6.88446	10.2276	6.9285	5.51256	12.0813	7.39525	5.46682	10.1614	10.5891	6.20446	5.12739	4.33286	4.7531	3.42901	11.3393	11.9148	4.62393	8.49065	7.41279	5.29983	7.63056	7.48511	8.56147	7.29086	9.03732	7.44176	4.3295	6.49319	5.35873	6.27932	5.47932	5.41577	4.95814	5.65788	7.04233	8.32639	5.22395	5.94787	8.64032	8.00211	6.99058	7.8938	3.53059	4.45092	6.79545	4.32841	6.9995	6.10989	8.64878	8.55988	8.35755	6.04605	6.27564	5.51826	8.32177	7.81896	5.37061	5.26345
4.7925	6.21725	4.35627	5.90486	3.38379	3.17813	6.56258	7.99745	5.83601	4.36953	6.45644	4.94071	4.04728	9.33448	3.93501	6.57784	8.76845	10.168	10.0115	8.59232	6.88446	10.2276	6.9285	5.51256	12.0813	7.39525	5.46682	10.1614	10.5891	6.20446	5.12739	4.33286	4.7531	3.42901	11.3393	11.9148	4.62393	8.49065	7.41279	5.29983	7.63056	7.48511	8.56147	7.29086	9.03732	7.44176	4.3295	6.49319	5.35873	6.27932	5.47932	5.41577	4.95814	5.65788	7.04233	8.32639	5.22395	5.94787	8.64032	8.00211	6.99058	7.8938	3.53059	4.45092	6.79545	4.32841	6.9995	6.10989	8.64878	8.55988	8.35755	6.04605	6.27564	5.51826	8.32177	7.81896	5.37061	5.26345
4.7297	5.96798	5.54488	6.17701	4.36403	4.05916	5.21671	6.5819	6.04187	5.22534	5.09698	4.87597	4.04728	9.33448	3.93501	6.57784	8.76845	10.168	10.0115	8.59232	6.88446	10.2276	6.9285	5.51256	12.0813	7.39525	5.46682	10.1614	10.5891	6.20446	5.12739	4.33286	4.7531	3.42901	11.3393	11.9148	4.62393	8.49065	7.41279	5.29983	7.63056	7.48511	8.56147	7.29086	9.03732	7.44176	4.3295	6.49319	5.35873	6.27932	5.47932	5.41577	4.95814	5.65788	7.04233	8.32639	5.22395	5.94787	8.64032	8.00211	6.99058	7.8938	3.53059	4.45092	6.79545	4.32841	6.9995	6.10989	8.64878	8.55988	8.35755	6.04605	6.27564	5.51826	8.32177	7.81896	5.37061	5.26345
5.45942	7.53284	5.23093	7.84063	3.47903	3.32677	6.18261	5.30564	5.52883	3.80131	6.00712	5.1649	4.04728	9.33448	3.93501	6.57784	8.76845	10.168	10.0115	8.59232	6.88446	10.2276	6.9285	5.51256	12.0813	7.39525	5.46682	10.1614	10.5891	6.20446	5.12739	4.33286	4.7531	3.42901	11.3393	11.9148	4.62393	8.49065	7.41279	5.29983	7.63056	7.48511	8.56147	7.29086	9.03732	7.44176	4.3295	6.49319	5.35873	6.27932	5.47932	5.41577	4.95814	5.65788	7.04233	8.32639	5.22395	5.94787	8.64032	8.00211	6.99058	7.8938	3.53059	4.45092	6.79545	4.32841	6.9995	6.10989	8.64878	8.55988	8.35755	6.04605	6.27564	5.51826	8.32177	7.81896	5.37061	5.26345
6.62407	7.3172	4.9973	7.72195	3.78076	3.47758	6.43612	5.67471	5.70375	3.88126	4.78251	6.82893	4.04728	9.33448	3.93501	6.57784	8.76845	10.168	10.0115	8.59232	6.88446	10.2276	6.9285	5.51256	12.0813	7.39525	5.46682	10.1614	10.5891	6.20446	5.12739	4.33286	4.7531	3.42901	11.3393	11.9148	4.62393	8.49065	7.41279	5.29983	7.63056	7.48511	8.56147	7.29086	9.03732	7.44176	4.3295	6.49319	5.35873	6.27932	5.47932	5.41577	4.95814	5.65788	7.04233	8.32639	5.22395	5.94787	8.64032	8.00211	6.99058	7.8938	3.53059	4.45092	6.79545	4.32841	6.9995	6.10989	8.64878	8.55988	8.35755	6.04605	6.27564	5.51826	8.32177	7.81896	5.37061	5.26345
4.28024	8.19756	4.98708	5.78345	3.74152	3.61792	7.71275	6.79977	5.56723	4.01517	4.61953	4.13438	4.04728	9.33448	3.93501	6.57784	8.76845	10.168	10.0115	8.59232	6.88446	10.2276	6.9285	5.51256	12.0813	7.39525	5.46682	10.1614	10.5891	6.20446	5.12739	4.33286	4.7531	3.42901	11.3393	11.9148	4.62393	8.49065	7.41279	5.29983	7.63056	7.48511	8.56147	7.29086	9.03732	7.44176	4.3295	6.49319	5.35873	6.27932	5.47932	5.41577	4.95814	5.65788	7.04233	8.32639	5.22395	5.94787	8.64032	8.00211	6.99058	7.8938	3.53059	4.45092	6.79545	4.32841	6.9995	6.10989	8.64878	8.55988	8.35755	6.04605	6.27564	5.51826	8.32177	7.81896	5.37061	5.26345
