	tfAR	tfATF1	tfBRCA1	tfCEBPA	tfCEBPB	tfCEBPD	tfCREB1	tfE2F1	tfE2F4	tfEGR1	tfESR1	tfETS1	tfFOXA1	tfGATA1	tfGATA2	tfGATA3	tfGLI1	tfGLI2	tfJUN	tfJUND	tfMYB	tfMYBL1	tfMYC	tfNFIC	tfNFKB1	tfNFKB2	tfPGR	tfPPARG	tfRARA	tfRARB	tfRARG	tfREL	tfRELA	tfSP1	tfSTAT3	tfSTAT5A	tfTFAP2A	tfTFAP2C	tfTP53	tfUSF1	tfWT1	tfYBX1	arnBCL2	arnBID	arnCAMK1D	arnCARD10	arnCASP1	arnCLCA1	arnDAP	arnGLRX2	arnIL1F10	arnIL6	arnLGALS3	arnSERPINB2	MIR143	MIR146A	MIR148A	MIR15A	MIR15B	MIR16_2	MIR17	MIR18A	MIR192	MIR195	MIR200B	MIR200C	MIR20A	MIR21	MIR224	MIR29A	MIR29C	MIR34A	MIR34B	MIR34C	MIR448	MIR449A	MIRLET7A1	MIRLET7C
tfMYB	0.00022897	-0	-0	-0	-0	-0	-0	0.000387774	-0	0.000232135	0.000254463	0.000215329	0.000193766	0.000226541	0.000206237	0.000232136	-0	-0	0.000216548	-0	-0.0101549	-0	-0	-0	0.000226189	-0	0.000199521	0.000188779	-0	-0	-0	-0	-0	0.000205245	-0	-0	0.000194885	-0	-0	-0	0.00022925	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0.000509163	-0	-0.000505121	-0	-0	-0	-0.000493251	-0.000797336	-0.000771448	-0	-0	-0	-0	-0	-0.000609126	-0	-0	-0	-0	-0	-0
tfMYBL1	-0	-0	-0	0.000367592	-0	-0	-0	-0	-0	-0	0.00041505	0.000351222	-0	-0	-0	0.000378635	-0	-0	-0	-0	-0	-0.0104026	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000334773	-0	-0	-0	-0	-0	-0	-0	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
tfMYC	0.000258878	-0	-0	-0	-0	-0	-0	0.000438421	0.000242889	-0	0.000287698	0.000243454	-0	0.000256128	0.000233176	0.000262457	-0	-0	0.000244832	-0	0.000343388	-0	-0.00827366	0.00027586	0.000255732	-0	0.000225581	0.000213436	-0	0.000354822	-0	-0	0.000268873	0.000232052	0.000284326	-0	0.000220339	0.000193877	0.000136153	-0	0.000259192	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0.000654315	-0	-0	-0	-0	-0	-0.000714739	-0	-0	-0	-0	-0.000710702	-0.000494054	-0.00071415	-0	-0	-0.000712227	-0.000662759
tfNFIC	0.000477093	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.00044867	-0	0.000472031	0.000429725	-0	-0	-0	-0	-0	-0	-0	-0	-0.009696	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000250921	-0	-0	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
tfNFKB1	0.000424843	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000399532	-0	-0	0.000382661	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.0095113	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000360473	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0.000906691	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
tfNFKB2	-0	-0	-0	-0	-0	-0	-0	-0	0.0004294	-0	-0	0.000430399	-0	-0	-0	-0	-0	-0	0.000432836	-0	-0	-0	-0	-0	-0	-0.010104	-0	-0	-0	-0	-0	-0	0.000475337	0.000410242	-0	-0	-0	-0	-0	-0	-0	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
tfPGR	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000286697	-0	0.000218312	-0	-0	0.000261543	-0	-0	0.00024398	-0	-0	-0	-0	-0	-0	-0	-0.012096	-0	-0	-0	-0	-0	-0	0.000231245	-0	-0	-0	-0	-0	-0	-0	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
tfPPARG	0.000241639	-0	-0	0.000237833	0.000287109	-0	0.000285135	-0	-0	0.000244979	0.000268542	-0	0.000204487	0.000239075	0.000217647	0.00024498	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.0111514	0.000230892	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.000911336	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
tfRARA	0.000373472	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000415051	0.000351222	0.00031605	-0	0.000336391	0.000378635	-0	-0	-0	-0	-0	-0	0.000307445	-0	-0	-0	-0	-0	-0.010752	-0	-0	-0	-0	0.000334773	-0	-0	-0	0.0002797	-0	-0	0.000373927	0.000316885	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
tfRARB	0.000284822	-0	-0	-0	-0	-0	0.000336091	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000234469	-0	-0	-0	-0	0.000234827	0.000272155	-0.0118783	0.00032575	-0	-0	-0	-0	-0	-0	0.00021331	-0	-0	-0	-0	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
tfRARG	0.000407413	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.00045277	0.000383141	-0	-0	0.000366961	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000389292	-0	-0.010008	-0	-0	-0	-0	-0	-0	0.000305121	-0	-0	-0	0.000345683	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0.00149844	-0	-0	-0	-0
tfREL	-0	-0	-0	-0	-0	-0	-0	-0	0.000364585	-0	-0	0.000365433	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0.000383862	-0	-0	-0	-0	-0	-0	-0.010812	-0	0.000348318	-0	-0	-0	-0	-0	-0	-0	0.000329706	-0	0	-0	-0	0	-0	-0	-0	-0	0	-0	0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
